component_name,part_id,original_cad_path,native_cad_path,native_file_exists,conversion_method,conversion_status,notes
category_B_output_bin_2x3,CP-BIN-B,03_cad/custom_parts/tube_bins/category_B_output_bin_2x3.step,,false,manual_required,manual_conversion_required,Native SolidWorks file not found in cache; manual conversion required.
category_C_output_bin_2x3,CP-BIN-C,03_cad/custom_parts/tube_bins/category_C_output_bin_2x3.step,,false,manual_required,manual_conversion_required,Native SolidWorks file not found in cache; manual conversion required.
category_D_output_bin_2x3,CP-BIN-D,03_cad/custom_parts/tube_bins/category_D_output_bin_2x3.step,,false,manual_required,manual_conversion_required,Native SolidWorks file not found in cache; manual conversion required.
manual_review_bin_2x3,CP-BIN-MR,03_cad/custom_parts/tube_bins/manual_review_bin_2x3.step,,false,manual_required,manual_conversion_required,Native SolidWorks file not found in cache; manual conversion required.
scan_station_reference,CP-SCAN-REF,03_cad/custom_parts/scan_station/scan_station_reference_block.step,,false,manual_required,manual_conversion_required,Native SolidWorks file not found in cache; manual conversion required.
barcode_scanner,SP-018,03_cad/standard_parts/downloaded/barcode_scanner/Cognex_DataMan80_USB_fixed_barcode_reader_v1.step,,false,manual_required,manual_conversion_required,Native SolidWorks file not found in cache; manual conversion required.
photoelectric_sensor,SP-017,03_cad/standard_parts/downloaded/sensors/Panasonic_CX421J_diffuse_photoelectric_sensor_v1.step,,false,manual_required,manual_conversion_required,Native SolidWorks file not found in cache; manual conversion required.
limit_switch_x_home,SP-016,03_cad/standard_parts/downloaded/sensors/OMRON_D4N_roller_lever_limit_switch_v1.step,,false,manual_required,manual_conversion_required,Native SolidWorks file not found in cache; manual conversion required.
limit_switch_y_home,SP-016,03_cad/standard_parts/downloaded/sensors/OMRON_D4N_roller_lever_limit_switch_v1.step,,false,manual_required,manual_conversion_required,Native SolidWorks file not found in cache; manual conversion required.
limit_switch_z_home,SP-016,03_cad/standard_parts/downloaded/sensors/OMRON_D4N_roller_lever_limit_switch_v1.step,,false,manual_required,manual_conversion_required,Native SolidWorks file not found in cache; manual conversion required.
cable_chain_xz,SP-015,03_cad/standard_parts/downloaded/cable_chain/MISUMI_MHPKS204_cable_carrier_R38_18links_v1.step,,false,manual_required,manual_conversion_required,Native SolidWorks file not found in cache; manual conversion required.
emergency_stop_placeholder,SP-019,03_cad/standard_parts/placeholders/safety/emergency_stop_visual_placeholder_v1.sldprt,03_cad/standard_parts/placeholders/safety/emergency_stop_visual_placeholder_v1.sldprt,true,existing_native,native_available,Native cache file found and registered.
control_box_placeholder,CP-CTRL,03_cad/custom_parts/control_box/control_box_placeholder_160x120x80.step,,false,manual_required,manual_conversion_required,Native SolidWorks file not found in cache; manual conversion required.
y_axis_sync_mechanism,SP-026,03_cad/custom_parts/y_axis_sync_mechanism/y_axis_sync_shaft_placeholder.step,,false,manual_required,manual_conversion_required,Native SolidWorks file not found in cache; manual conversion required.
sample_tube_instances_input_demo,CP-TUBE-SET,03_cad/custom_parts/sample_tube/*.step,,false,manual_required,manual_conversion_required,Native SolidWorks file not found in cache; manual conversion required.
sample_tube_instances_output_demo,CP-TUBE-SET,03_cad/custom_parts/sample_tube/*.step,,false,manual_required,manual_conversion_required,Native SolidWorks file not found in cache; manual conversion required.
