task_id,tube_id,source_input_box_id,source_slot_id,source_x_mm,source_y_mm,source_z_pick_mm,requires_scan,scan_station_id,barcode_status,sample_category,abnormal_flag,target_type,target_box_id,target_slot_id,task_priority,initial_task_status,notes
TASK-7B1-051,TUBE-7B1-051,input_box_03,R4C4,-165,65,145,false,,valid,category_C,false,output_box,output_box_C,S12,3,queued_output,normal sample output task
TASK-7B1-052,TUBE-7B1-052,input_box_03,R4C5,-140,65,145,false,,valid,category_D,false,output_box,output_box_D,,3,category_hold_pending,"target category output box is full; hold category, do not route to manual_review"
TASK-7B1-053,TUBE-7B1-053,input_box_04,R1C2,-35,-10,145,false,,valid,category_A,false,output_box,output_box_A,S13,3,queued_output,normal sample output task
TASK-7B1-054,TUBE-7B1-054,input_box_04,R1C3,-10,-10,145,false,,valid,category_B,false,output_box,output_box_B,S13,3,queued_output,normal sample output task
TASK-7B1-055,TUBE-7B1-055,input_box_04,R1C5,40,-10,145,false,,valid,category_C,false,output_box,output_box_C,S13,3,queued_output,normal sample output task
TASK-7B1-056,TUBE-7B1-056,input_box_04,R1C6,65,-10,145,false,,valid,category_D,false,output_box,output_box_D,,3,category_hold_pending,"target category output box is full; hold category, do not route to manual_review"
TASK-7B1-057,TUBE-7B1-057,input_box_04,R2C1,-60,15,145,false,,valid,category_A,false,output_box,output_box_A,S14,3,queued_output,normal sample output task
TASK-7B1-058,TUBE-7B1-058,input_box_04,R2C3,-10,15,145,false,,valid,category_B,false,output_box,output_box_B,S14,3,queued_output,normal sample output task
TASK-7B1-059,TUBE-7B1-059,input_box_04,R2C4,15,15,145,false,,missing_label,unknown,true,manual_review,manual_review_01,MR59,1,queued_manual_review,true abnormal sample; route to manual_review
TASK-7B1-060,TUBE-7B1-060,input_box_04,R2C5,40,15,145,false,,valid,category_C,false,output_box,output_box_C,S14,3,queued_output,normal sample output task
TASK-7B1-061,TUBE-7B1-061,input_box_04,R3C1,-60,40,145,false,,valid,category_D,false,output_box,output_box_D,,3,category_hold_pending,"target category output box is full; hold category, do not route to manual_review"
TASK-7B1-062,TUBE-7B1-062,input_box_04,R3C2,-35,40,145,false,,valid,category_A,false,output_box,output_box_A,S15,3,queued_output,normal sample output task
TASK-7B1-063,TUBE-7B1-063,input_box_04,R3C3,-10,40,145,false,,valid,category_B,false,output_box,output_box_B,S15,3,queued_output,normal sample output task
TASK-7B1-064,TUBE-7B1-064,input_box_04,R3C5,40,40,145,false,,valid,category_C,false,output_box,output_box_C,S15,3,queued_output,normal sample output task
TASK-7B1-065,TUBE-7B1-065,input_box_04,R3C6,65,40,145,false,,valid,category_D,false,output_box,output_box_D,,3,category_hold_pending,"target category output box is full; hold category, do not route to manual_review"
TASK-7B1-066,TUBE-7B1-066,input_box_04,R4C1,-60,65,145,false,,valid,category_A,false,output_box,output_box_A,S16,3,queued_output,normal sample output task
TASK-7B1-067,TUBE-7B1-067,input_box_04,R4C3,-10,65,145,false,,valid,category_B,false,output_box,output_box_B,S16,3,queued_output,normal sample output task
TASK-7B1-068,TUBE-7B1-068,input_box_04,R4C4,15,65,145,false,,valid,category_C,false,output_box,output_box_C,S16,3,queued_output,normal sample output task
TASK-7B1-069,TUBE-7B1-069,input_box_04,R4C5,40,65,145,false,,valid,category_D,false,output_box,output_box_D,,3,category_hold_pending,"target category output box is full; hold category, do not route to manual_review"
