scenario_id,task_id,check_item,axis,measured_value,limit_value,status,notes
baseline,TASK-7B1-003,z_position_limit,z,190.0,230.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-003,x_velocity_limit,x,251.748,350.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-003,y_velocity_limit,y,196.281,350.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-003,z_velocity_limit,z,90.461,120.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-003,x_acceleration_limit,x,0.0,800.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-003,y_acceleration_limit,y,0.0,800.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-003,z_acceleration_limit,z,0.0,300.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-004,x_position_limit,x,420.0,520.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-004,y_position_limit,y,275.0,360.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-004,z_position_limit,z,190.0,230.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-004,x_velocity_limit,x,261.845,350.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-004,y_velocity_limit,y,217.391,350.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-004,z_velocity_limit,z,90.461,120.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-004,x_acceleration_limit,x,0.0,800.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-004,y_acceleration_limit,y,0.0,800.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-004,z_acceleration_limit,z,0.0,300.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-005,x_position_limit,x,330.0,520.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-005,y_position_limit,y,170.0,360.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-005,z_position_limit,z,190.0,230.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-005,x_velocity_limit,x,288.714,350.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-005,y_velocity_limit,y,227.545,350.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-005,z_velocity_limit,z,90.461,120.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-005,x_acceleration_limit,x,0.0,800.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-005,y_acceleration_limit,y,0.0,800.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-005,z_acceleration_limit,z,0.0,300.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-006,x_position_limit,x,240.0,520.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-006,y_position_limit,y,170.0,360.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-006,z_position_limit,z,190.0,230.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-006,x_velocity_limit,x,239.76,350.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-006,y_velocity_limit,y,190.19,350.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-006,z_velocity_limit,z,90.461,120.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-006,x_acceleration_limit,x,0.0,800.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-006,y_acceleration_limit,y,0.0,800.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-006,z_acceleration_limit,z,0.0,300.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-007,x_position_limit,x,355.0,520.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-007,y_position_limit,y,170.0,360.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-007,z_position_limit,z,190.0,230.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-007,x_velocity_limit,x,262.963,350.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-007,y_velocity_limit,y,179.543,350.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-007,z_velocity_limit,z,90.461,120.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-007,x_acceleration_limit,x,0.0,800.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-007,y_acceleration_limit,y,0.0,800.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-007,z_acceleration_limit,z,0.0,300.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-008,x_position_limit,x,205.0,520.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-008,y_position_limit,y,145.0,360.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-008,z_position_limit,z,190.0,230.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-008,x_velocity_limit,x,260.814,350.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-008,y_velocity_limit,y,190.311,350.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-008,z_velocity_limit,z,90.461,120.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-008,x_acceleration_limit,x,0.0,800.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-008,y_acceleration_limit,y,0.0,800.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-008,z_acceleration_limit,z,0.0,300.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-009,x_position_limit,x,355.0,520.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-009,y_position_limit,y,145.0,360.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-009,z_position_limit,z,190.0,230.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-009,x_velocity_limit,x,292.181,350.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-009,y_velocity_limit,y,201.711,350.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-009,z_velocity_limit,z,90.461,120.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-009,x_acceleration_limit,x,0.0,800.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-009,y_acceleration_limit,y,0.0,800.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-009,z_acceleration_limit,z,0.0,300.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-010,x_position_limit,x,240.0,520.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-010,y_position_limit,y,170.0,360.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-010,z_position_limit,z,190.0,230.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-010,x_velocity_limit,x,248.19,350.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-010,y_velocity_limit,y,180.608,350.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-010,z_velocity_limit,z,90.461,120.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-010,x_acceleration_limit,x,0.0,800.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-010,y_acceleration_limit,y,0.0,800.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-010,z_acceleration_limit,z,0.0,300.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-011,x_position_limit,x,380.0,520.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-011,y_position_limit,y,170.0,360.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-011,z_position_limit,z,190.0,230.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-011,x_velocity_limit,x,268.741,350.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-011,y_velocity_limit,y,150.054,350.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-011,z_velocity_limit,z,90.461,120.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-011,x_acceleration_limit,x,0.0,800.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-011,y_acceleration_limit,y,0.0,800.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-011,z_acceleration_limit,z,0.0,300.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-012,x_position_limit,x,230.0,520.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-012,y_position_limit,y,120.0,360.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-012,z_position_limit,z,190.0,230.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-012,x_velocity_limit,x,268.065,350.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-012,y_velocity_limit,y,160.183,350.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-012,z_velocity_limit,z,90.461,120.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-012,x_acceleration_limit,x,0.0,800.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-012,y_acceleration_limit,y,0.0,800.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-012,z_acceleration_limit,z,0.0,300.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-013,x_position_limit,x,395.0,520.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-013,y_position_limit,y,275.0,360.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-013,z_position_limit,z,190.0,230.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-013,x_velocity_limit,x,255.995,350.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-013,y_velocity_limit,y,182.768,350.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-013,z_velocity_limit,z,90.461,120.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-013,x_acceleration_limit,x,0.0,800.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-013,y_acceleration_limit,y,0.0,800.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-013,z_acceleration_limit,z,0.0,300.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-014,x_position_limit,x,380.0,520.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-014,y_position_limit,y,120.0,360.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-014,z_position_limit,z,190.0,230.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-014,x_velocity_limit,x,295.49,350.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-014,y_velocity_limit,y,194.986,350.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-014,z_velocity_limit,z,90.461,120.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-014,x_acceleration_limit,x,0.0,800.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-014,y_acceleration_limit,y,0.0,800.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-014,z_acceleration_limit,z,0.0,300.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-015,x_position_limit,x,255.0,520.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-015,y_position_limit,y,170.0,360.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-015,z_position_limit,z,190.0,230.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-015,x_velocity_limit,x,256.137,350.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-015,y_velocity_limit,y,171.326,350.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-015,z_velocity_limit,z,90.461,120.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-015,x_acceleration_limit,x,0.0,800.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-015,y_acceleration_limit,y,0.0,800.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-015,z_acceleration_limit,z,0.0,300.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-016,x_position_limit,x,405.0,520.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-016,y_position_limit,y,170.0,360.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-016,z_position_limit,z,190.0,230.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-016,x_velocity_limit,x,274.019,350.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-016,y_velocity_limit,y,137.725,350.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-016,z_velocity_limit,z,90.461,120.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-016,x_acceleration_limit,x,0.0,800.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-016,y_acceleration_limit,y,0.0,800.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-016,z_acceleration_limit,z,0.0,300.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-017,x_position_limit,x,255.0,520.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-017,y_position_limit,y,95.0,360.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-017,z_position_limit,z,190.0,230.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-017,x_velocity_limit,x,274.489,350.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-017,y_velocity_limit,y,148.387,350.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-017,z_velocity_limit,z,90.461,120.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-017,x_acceleration_limit,x,0.0,800.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-017,y_acceleration_limit,y,0.0,800.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-017,z_acceleration_limit,z,0.0,300.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-018,x_position_limit,x,405.0,520.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-018,y_position_limit,y,95.0,360.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-018,z_position_limit,z,190.0,230.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-018,x_velocity_limit,x,298.452,350.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-018,y_velocity_limit,y,160.167,350.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-018,z_velocity_limit,z,90.461,120.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-018,x_acceleration_limit,x,0.0,800.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-018,y_acceleration_limit,y,0.0,800.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-018,z_acceleration_limit,z,0.0,300.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-019,x_position_limit,x,280.0,520.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-019,y_position_limit,y,170.0,360.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-019,z_position_limit,z,190.0,230.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-019,x_velocity_limit,x,239.931,350.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-019,y_velocity_limit,y,247.074,350.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-019,z_velocity_limit,z,90.461,120.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-019,x_acceleration_limit,x,0.0,800.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-019,y_acceleration_limit,y,0.0,800.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-019,z_acceleration_limit,z,0.0,300.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-020,x_position_limit,x,430.0,520.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-020,y_position_limit,y,170.0,360.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-020,z_position_limit,z,190.0,230.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-020,x_velocity_limit,x,278.678,350.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-020,y_velocity_limit,y,252.66,350.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-020,z_velocity_limit,z,90.461,120.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-020,x_acceleration_limit,x,0.0,800.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-020,y_acceleration_limit,y,0.0,800.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-020,z_acceleration_limit,z,0.0,300.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-021,x_position_limit,x,280.0,520.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-021,y_position_limit,y,170.0,360.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-021,z_position_limit,z,190.0,230.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-021,x_velocity_limit,x,279.72,350.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-021,y_velocity_limit,y,255.376,350.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-021,z_velocity_limit,z,90.461,120.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-021,x_acceleration_limit,x,0.0,800.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-021,y_acceleration_limit,y,0.0,800.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-021,z_acceleration_limit,z,0.0,300.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-022,x_position_limit,x,430.0,520.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-022,y_position_limit,y,170.0,360.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-022,z_position_limit,z,190.0,230.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-022,x_velocity_limit,x,300.91,350.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-022,y_velocity_limit,y,251.656,350.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-022,z_velocity_limit,z,90.461,120.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-022,x_acceleration_limit,x,0.0,800.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-022,y_acceleration_limit,y,0.0,800.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-022,z_acceleration_limit,z,0.0,300.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-023,x_position_limit,x,305.0,520.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-023,y_position_limit,y,170.0,360.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-023,z_position_limit,z,190.0,230.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-023,x_velocity_limit,x,248.574,350.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-023,y_velocity_limit,y,245.478,350.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-023,z_velocity_limit,z,90.461,120.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-023,x_acceleration_limit,x,0.0,800.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-023,y_acceleration_limit,y,0.0,800.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-023,z_acceleration_limit,z,0.0,300.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-024,x_position_limit,x,455.0,520.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-024,y_position_limit,y,170.0,360.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-024,z_position_limit,z,190.0,230.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-024,x_velocity_limit,x,282.784,350.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-024,y_velocity_limit,y,245.536,350.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-024,z_velocity_limit,z,90.461,120.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-024,x_acceleration_limit,x,0.0,800.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-024,y_acceleration_limit,y,0.0,800.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-024,z_acceleration_limit,z,0.0,300.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-025,x_position_limit,x,305.0,520.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-025,y_position_limit,y,145.0,360.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-025,z_position_limit,z,190.0,230.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-025,x_velocity_limit,x,284.515,350.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-025,y_velocity_limit,y,245.171,350.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-025,z_velocity_limit,z,90.461,120.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-025,x_acceleration_limit,x,0.0,800.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-025,y_acceleration_limit,y,0.0,800.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-025,z_acceleration_limit,z,0.0,300.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-026,x_position_limit,x,455.0,520.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-026,y_position_limit,y,145.0,360.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-026,z_position_limit,z,190.0,230.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-026,x_velocity_limit,x,303.333,350.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-026,y_velocity_limit,y,240.876,350.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-026,z_velocity_limit,z,90.461,120.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-026,x_acceleration_limit,x,0.0,800.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-026,y_acceleration_limit,y,0.0,800.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-026,z_acceleration_limit,z,0.0,300.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-027,x_position_limit,x,180.0,520.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-027,y_position_limit,y,145.0,360.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-027,z_position_limit,z,190.0,230.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-027,x_velocity_limit,x,200.445,350.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-027,y_velocity_limit,y,220.472,350.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-027,z_velocity_limit,z,90.461,120.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-027,x_acceleration_limit,x,0.0,800.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-027,y_acceleration_limit,y,0.0,800.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-027,z_acceleration_limit,z,0.0,300.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-028,x_position_limit,x,370.0,520.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-028,y_position_limit,y,275.0,360.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-028,z_position_limit,z,190.0,230.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-028,x_velocity_limit,x,249.326,350.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-028,y_velocity_limit,y,228.758,350.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-028,z_velocity_limit,z,90.461,120.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-028,x_acceleration_limit,x,0.0,800.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-028,y_acceleration_limit,y,0.0,800.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-028,z_acceleration_limit,z,0.0,300.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-029,x_position_limit,x,330.0,520.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-029,y_position_limit,y,145.0,360.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-029,z_position_limit,z,190.0,230.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-029,x_velocity_limit,x,263.158,350.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-029,y_velocity_limit,y,232.945,350.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-029,z_velocity_limit,z,90.461,120.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-029,x_acceleration_limit,x,0.0,800.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-029,y_acceleration_limit,y,0.0,800.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-029,z_acceleration_limit,z,0.0,300.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-030,x_position_limit,x,180.0,520.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-030,y_position_limit,y,120.0,360.0,PASS,Concept-level Cartesian constraint check.
baseline,TASK-7B1-030,z_position_limit,z,190.0,230.0,PASS,Concept-level Cartesian constraint check.
