input_box_id,rack_type,slot_row,slot_col,slot_id,tube_present,tube_id,x_mm,y_mm,z_pick_mm,slot_status,notes
input_box_01,input_4x6,1,1,R1C1,true,TUBE-7B1-001,-240,-170,145,occupied,internal occupancy table source; no camera
input_box_04,input_4x6,1,6,R1C6,true,TUBE-7B1-056,65,-10,145,occupied,internal occupancy table source; no camera
input_box_04,input_4x6,2,1,R2C1,true,TUBE-7B1-057,-60,15,145,occupied,internal occupancy table source; no camera
input_box_04,input_4x6,2,2,R2C2,false,,-35,15,145,empty,internal occupancy table source; no camera
input_box_04,input_4x6,2,3,R2C3,true,TUBE-7B1-058,-10,15,145,occupied,internal occupancy table source; no camera
input_box_04,input_4x6,2,4,R2C4,true,TUBE-7B1-059,15,15,145,occupied,internal occupancy table source; no camera
input_box_04,input_4x6,2,5,R2C5,true,TUBE-7B1-060,40,15,145,occupied,internal occupancy table source; no camera
input_box_04,input_4x6,2,6,R2C6,false,,65,15,145,empty,internal occupancy table source; no camera
input_box_04,input_4x6,3,1,R3C1,true,TUBE-7B1-061,-60,40,145,occupied,internal occupancy table source; no camera
input_box_04,input_4x6,3,2,R3C2,true,TUBE-7B1-062,-35,40,145,occupied,internal occupancy table source; no camera
input_box_04,input_4x6,3,3,R3C3,true,TUBE-7B1-063,-10,40,145,occupied,internal occupancy table source; no camera
input_box_04,input_4x6,3,4,R3C4,false,,15,40,145,empty,internal occupancy table source; no camera
input_box_04,input_4x6,3,5,R3C5,true,TUBE-7B1-064,40,40,145,occupied,internal occupancy table source; no camera
input_box_04,input_4x6,3,6,R3C6,true,TUBE-7B1-065,65,40,145,occupied,internal occupancy table source; no camera
input_box_04,input_4x6,4,1,R4C1,true,TUBE-7B1-066,-60,65,145,occupied,internal occupancy table source; no camera
input_box_04,input_4x6,4,2,R4C2,false,,-35,65,145,empty,internal occupancy table source; no camera
input_box_04,input_4x6,4,3,R4C3,true,TUBE-7B1-067,-10,65,145,occupied,internal occupancy table source; no camera
input_box_04,input_4x6,4,4,R4C4,true,TUBE-7B1-068,15,65,145,occupied,internal occupancy table source; no camera
input_box_04,input_4x6,4,5,R4C5,true,TUBE-7B1-069,40,65,145,occupied,internal occupancy table source; no camera
input_box_04,input_4x6,4,6,R4C6,false,,65,65,145,empty,internal occupancy table source; no camera
