scenario_id,task_id,tube_id,time_s,ax_mm_s2,ay_mm_s2,az_mm_s2,motion_type,notes
baseline,TASK-7B1-001,TUBE-7B1-001,0.98,0.0,0.0,0.0,xy_move_at_safe_z,Acceleration is steady-state zero in this simplified interpolation model.
baseline,TASK-7B1-001,TUBE-7B1-001,1.0,0.0,0.0,0.0,xy_move_at_safe_z,Acceleration is steady-state zero in this simplified interpolation model.
baseline,TASK-7B1-001,TUBE-7B1-001,1.02,0.0,0.0,0.0,xy_move_at_safe_z,Acceleration is steady-state zero in this simplified interpolation model.
baseline,TASK-7B1-001,TUBE-7B1-001,1.04,0.0,0.0,0.0,xy_move_at_safe_z,Acceleration is steady-state zero in this simplified interpolation model.
baseline,TASK-7B1-001,TUBE-7B1-001,1.04,0.0,0.0,0.0,z_descend,Acceleration is steady-state zero in this simplified interpolation model.
baseline,TASK-7B1-001,TUBE-7B1-001,1.06,0.0,0.0,0.0,z_descend,Acceleration is steady-state zero in this simplified interpolation model.
baseline,TASK-7B1-001,TUBE-7B1-001,1.08,0.0,0.0,0.0,z_descend,Acceleration is steady-state zero in this simplified interpolation model.
baseline,TASK-7B1-001,TUBE-7B1-001,1.1,0.0,0.0,0.0,z_descend,Acceleration is steady-state zero in this simplified interpolation model.
baseline,TASK-7B1-001,TUBE-7B1-001,1.12,0.0,0.0,0.0,z_descend,Acceleration is steady-state zero in this simplified interpolation model.
baseline,TASK-7B1-001,TUBE-7B1-001,1.14,0.0,0.0,0.0,z_descend,Acceleration is steady-state zero in this simplified interpolation model.
baseline,TASK-7B1-001,TUBE-7B1-001,1.16,0.0,0.0,0.0,z_descend,Acceleration is steady-state zero in this simplified interpolation model.
baseline,TASK-7B1-001,TUBE-7B1-001,1.18,0.0,0.0,0.0,z_descend,Acceleration is steady-state zero in this simplified interpolation model.
baseline,TASK-7B1-001,TUBE-7B1-001,1.2,0.0,0.0,0.0,z_descend,Acceleration is steady-state zero in this simplified interpolation model.
baseline,TASK-7B1-001,TUBE-7B1-001,1.22,0.0,0.0,0.0,z_descend,Acceleration is steady-state zero in this simplified interpolation model.
baseline,TASK-7B1-001,TUBE-7B1-001,1.24,0.0,0.0,0.0,z_descend,Acceleration is steady-state zero in this simplified interpolation model.
baseline,TASK-7B1-001,TUBE-7B1-001,1.26,0.0,0.0,0.0,z_descend,Acceleration is steady-state zero in this simplified interpolation model.
baseline,TASK-7B1-001,TUBE-7B1-001,1.28,0.0,0.0,0.0,z_descend,Acceleration is steady-state zero in this simplified interpolation model.
baseline,TASK-7B1-001,TUBE-7B1-001,1.3,0.0,0.0,0.0,z_descend,Acceleration is steady-state zero in this simplified interpolation model.
baseline,TASK-7B1-001,TUBE-7B1-001,1.32,0.0,0.0,0.0,z_descend,Acceleration is steady-state zero in this simplified interpolation model.
baseline,TASK-7B1-001,TUBE-7B1-001,1.34,0.0,0.0,0.0,z_descend,Acceleration is steady-state zero in this simplified interpolation model.
baseline,TASK-7B1-001,TUBE-7B1-001,1.36,0.0,0.0,0.0,z_descend,Acceleration is steady-state zero in this simplified interpolation model.
baseline,TASK-7B1-001,TUBE-7B1-001,1.38,0.0,0.0,0.0,z_descend,Acceleration is steady-state zero in this simplified interpolation model.
baseline,TASK-7B1-001,TUBE-7B1-001,1.4,0.0,0.0,0.0,z_descend,Acceleration is steady-state zero in this simplified interpolation model.
baseline,TASK-7B1-001,TUBE-7B1-001,1.42,0.0,0.0,0.0,z_descend,Acceleration is steady-state zero in this simplified interpolation model.
baseline,TASK-7B1-001,TUBE-7B1-001,1.44,0.0,0.0,0.0,z_descend,Acceleration is steady-state zero in this simplified interpolation model.
baseline,TASK-7B1-001,TUBE-7B1-001,1.46,0.0,0.0,0.0,z_descend,Acceleration is steady-state zero in this simplified interpolation model.
baseline,TASK-7B1-001,TUBE-7B1-001,1.48,0.0,0.0,0.0,z_descend,Acceleration is steady-state zero in this simplified interpolation model.
baseline,TASK-7B1-001,TUBE-7B1-001,1.5,0.0,0.0,0.0,z_descend,Acceleration is steady-state zero in this simplified interpolation model.
baseline,TASK-7B1-001,TUBE-7B1-001,1.52,0.0,0.0,0.0,z_descend,Acceleration is steady-state zero in this simplified interpolation model.
baseline,TASK-7B1-001,TUBE-7B1-001,1.54,0.0,0.0,0.0,z_descend,Acceleration is steady-state zero in this simplified interpolation model.
baseline,TASK-7B1-001,TUBE-7B1-001,1.56,0.0,0.0,0.0,z_descend,Acceleration is steady-state zero in this simplified interpolation model.
baseline,TASK-7B1-001,TUBE-7B1-001,1.565,0.0,0.0,0.0,z_descend,Acceleration is steady-state zero in this simplified interpolation model.
baseline,TASK-7B1-001,TUBE-7B1-001,1.565,0.0,0.0,0.0,gripper_action,Acceleration is steady-state zero in this simplified interpolation model.
baseline,TASK-7B1-001,TUBE-7B1-001,1.585,0.0,0.0,0.0,gripper_action,Acceleration is steady-state zero in this simplified interpolation model.
baseline,TASK-7B1-001,TUBE-7B1-001,1.605,0.0,0.0,0.0,gripper_action,Acceleration is steady-state zero in this simplified interpolation model.
baseline,TASK-7B1-001,TUBE-7B1-001,1.625,0.0,0.0,0.0,gripper_action,Acceleration is steady-state zero in this simplified interpolation model.
baseline,TASK-7B1-001,TUBE-7B1-001,1.645,0.0,0.0,0.0,gripper_action,Acceleration is steady-state zero in this simplified interpolation model.
baseline,TASK-7B1-001,TUBE-7B1-001,1.665,0.0,0.0,0.0,gripper_action,Acceleration is steady-state zero in this simplified interpolation model.
baseline,TASK-7B1-001,TUBE-7B1-001,1.685,0.0,0.0,0.0,gripper_action,Acceleration is steady-state zero in this simplified interpolation model.
baseline,TASK-7B1-001,TUBE-7B1-001,1.705,0.0,0.0,0.0,gripper_action,Acceleration is steady-state zero in this simplified interpolation model.
baseline,TASK-7B1-001,TUBE-7B1-001,1.725,0.0,0.0,0.0,gripper_action,Acceleration is steady-state zero in this simplified interpolation model.
baseline,TASK-7B1-001,TUBE-7B1-001,1.745,0.0,0.0,0.0,gripper_action,Acceleration is steady-state zero in this simplified interpolation model.
baseline,TASK-7B1-001,TUBE-7B1-001,1.765,0.0,0.0,0.0,gripper_action,Acceleration is steady-state zero in this simplified interpolation model.
baseline,TASK-7B1-001,TUBE-7B1-001,1.785,0.0,0.0,0.0,gripper_action,Acceleration is steady-state zero in this simplified interpolation model.
baseline,TASK-7B1-001,TUBE-7B1-001,1.805,0.0,0.0,0.0,gripper_action,Acceleration is steady-state zero in this simplified interpolation model.
baseline,TASK-7B1-001,TUBE-7B1-001,1.825,0.0,0.0,0.0,gripper_action,Acceleration is steady-state zero in this simplified interpolation model.
baseline,TASK-7B1-001,TUBE-7B1-001,1.845,0.0,0.0,0.0,gripper_action,Acceleration is steady-state zero in this simplified interpolation model.
baseline,TASK-7B1-001,TUBE-7B1-001,1.865,0.0,0.0,0.0,gripper_action,Acceleration is steady-state zero in this simplified interpolation model.
baseline,TASK-7B1-001,TUBE-7B1-001,1.885,0.0,0.0,0.0,gripper_action,Acceleration is steady-state zero in this simplified interpolation model.
baseline,TASK-7B1-001,TUBE-7B1-001,1.905,0.0,0.0,0.0,gripper_action,Acceleration is steady-state zero in this simplified interpolation model.
baseline,TASK-7B1-001,TUBE-7B1-001,1.925,0.0,0.0,0.0,gripper_action,Acceleration is steady-state zero in this simplified interpolation model.
baseline,TASK-7B1-001,TUBE-7B1-001,1.945,0.0,0.0,0.0,gripper_action,Acceleration is steady-state zero in this simplified interpolation model.
baseline,TASK-7B1-001,TUBE-7B1-001,1.965,0.0,0.0,0.0,gripper_action,Acceleration is steady-state zero in this simplified interpolation model.
baseline,TASK-7B1-001,TUBE-7B1-001,1.985,0.0,0.0,0.0,gripper_action,Acceleration is steady-state zero in this simplified interpolation model.
baseline,TASK-7B1-001,TUBE-7B1-001,2.005,0.0,0.0,0.0,gripper_action,Acceleration is steady-state zero in this simplified interpolation model.
baseline,TASK-7B1-001,TUBE-7B1-001,2.025,0.0,0.0,0.0,gripper_action,Acceleration is steady-state zero in this simplified interpolation model.
baseline,TASK-7B1-001,TUBE-7B1-001,2.045,0.0,0.0,0.0,gripper_action,Acceleration is steady-state zero in this simplified interpolation model.
baseline,TASK-7B1-001,TUBE-7B1-001,2.065,0.0,0.0,0.0,gripper_action,Acceleration is steady-state zero in this simplified interpolation model.
baseline,TASK-7B1-001,TUBE-7B1-001,2.085,0.0,0.0,0.0,gripper_action,Acceleration is steady-state zero in this simplified interpolation model.
baseline,TASK-7B1-001,TUBE-7B1-001,2.105,0.0,0.0,0.0,gripper_action,Acceleration is steady-state zero in this simplified interpolation model.
baseline,TASK-7B1-001,TUBE-7B1-001,2.125,0.0,0.0,0.0,gripper_action,Acceleration is steady-state zero in this simplified interpolation model.
baseline,TASK-7B1-001,TUBE-7B1-001,2.145,0.0,0.0,0.0,gripper_action,Acceleration is steady-state zero in this simplified interpolation model.
baseline,TASK-7B1-001,TUBE-7B1-001,2.165,0.0,0.0,0.0,gripper_action,Acceleration is steady-state zero in this simplified interpolation model.
baseline,TASK-7B1-001,TUBE-7B1-001,2.165,0.0,0.0,0.0,z_lift,Acceleration is steady-state zero in this simplified interpolation model.
baseline,TASK-7B1-001,TUBE-7B1-001,2.185,0.0,0.0,0.0,z_lift,Acceleration is steady-state zero in this simplified interpolation model.
baseline,TASK-7B1-001,TUBE-7B1-001,2.205,0.0,0.0,0.0,z_lift,Acceleration is steady-state zero in this simplified interpolation model.
baseline,TASK-7B1-001,TUBE-7B1-001,2.225,0.0,0.0,0.0,z_lift,Acceleration is steady-state zero in this simplified interpolation model.
baseline,TASK-7B1-001,TUBE-7B1-001,2.245,0.0,0.0,0.0,z_lift,Acceleration is steady-state zero in this simplified interpolation model.
baseline,TASK-7B1-001,TUBE-7B1-001,2.265,0.0,0.0,0.0,z_lift,Acceleration is steady-state zero in this simplified interpolation model.
baseline,TASK-7B1-001,TUBE-7B1-001,2.285,0.0,0.0,0.0,z_lift,Acceleration is steady-state zero in this simplified interpolation model.
baseline,TASK-7B1-001,TUBE-7B1-001,2.305,0.0,0.0,0.0,z_lift,Acceleration is steady-state zero in this simplified interpolation model.
baseline,TASK-7B1-001,TUBE-7B1-001,2.325,0.0,0.0,0.0,z_lift,Acceleration is steady-state zero in this simplified interpolation model.
baseline,TASK-7B1-001,TUBE-7B1-001,2.345,0.0,0.0,0.0,z_lift,Acceleration is steady-state zero in this simplified interpolation model.
baseline,TASK-7B1-001,TUBE-7B1-001,2.365,0.0,0.0,0.0,z_lift,Acceleration is steady-state zero in this simplified interpolation model.
baseline,TASK-7B1-001,TUBE-7B1-001,2.385,0.0,0.0,0.0,z_lift,Acceleration is steady-state zero in this simplified interpolation model.
baseline,TASK-7B1-001,TUBE-7B1-001,2.405,0.0,0.0,0.0,z_lift,Acceleration is steady-state zero in this simplified interpolation model.
baseline,TASK-7B1-001,TUBE-7B1-001,2.425,0.0,0.0,0.0,z_lift,Acceleration is steady-state zero in this simplified interpolation model.
baseline,TASK-7B1-001,TUBE-7B1-001,2.445,0.0,0.0,0.0,z_lift,Acceleration is steady-state zero in this simplified interpolation model.
baseline,TASK-7B1-001,TUBE-7B1-001,2.465,0.0,0.0,0.0,z_lift,Acceleration is steady-state zero in this simplified interpolation model.
baseline,TASK-7B1-001,TUBE-7B1-001,2.485,0.0,0.0,0.0,z_lift,Acceleration is steady-state zero in this simplified interpolation model.
baseline,TASK-7B1-001,TUBE-7B1-001,2.505,0.0,0.0,0.0,z_lift,Acceleration is steady-state zero in this simplified interpolation model.
baseline,TASK-7B1-001,TUBE-7B1-001,2.525,0.0,0.0,0.0,z_lift,Acceleration is steady-state zero in this simplified interpolation model.
baseline,TASK-7B1-001,TUBE-7B1-001,2.545,0.0,0.0,0.0,z_lift,Acceleration is steady-state zero in this simplified interpolation model.
baseline,TASK-7B1-001,TUBE-7B1-001,2.565,0.0,0.0,0.0,z_lift,Acceleration is steady-state zero in this simplified interpolation model.
baseline,TASK-7B1-001,TUBE-7B1-001,2.585,0.0,0.0,0.0,z_lift,Acceleration is steady-state zero in this simplified interpolation model.
baseline,TASK-7B1-001,TUBE-7B1-001,2.605,0.0,0.0,0.0,z_lift,Acceleration is steady-state zero in this simplified interpolation model.
baseline,TASK-7B1-001,TUBE-7B1-001,2.625,0.0,0.0,0.0,z_lift,Acceleration is steady-state zero in this simplified interpolation model.
baseline,TASK-7B1-001,TUBE-7B1-001,2.645,0.0,0.0,0.0,z_lift,Acceleration is steady-state zero in this simplified interpolation model.
baseline,TASK-7B1-001,TUBE-7B1-001,2.665,0.0,0.0,0.0,z_lift,Acceleration is steady-state zero in this simplified interpolation model.
baseline,TASK-7B1-001,TUBE-7B1-001,2.685,0.0,0.0,0.0,z_lift,Acceleration is steady-state zero in this simplified interpolation model.
baseline,TASK-7B1-001,TUBE-7B1-001,2.69,0.0,0.0,0.0,z_lift,Acceleration is steady-state zero in this simplified interpolation model.
baseline,TASK-7B1-001,TUBE-7B1-001,2.69,0.0,0.0,0.0,xy_move_at_safe_z,Acceleration is steady-state zero in this simplified interpolation model.
baseline,TASK-7B1-001,TUBE-7B1-001,2.71,0.0,0.0,0.0,xy_move_at_safe_z,Acceleration is steady-state zero in this simplified interpolation model.
baseline,TASK-7B1-001,TUBE-7B1-001,2.73,0.0,0.0,0.0,xy_move_at_safe_z,Acceleration is steady-state zero in this simplified interpolation model.
baseline,TASK-7B1-001,TUBE-7B1-001,2.75,0.0,0.0,0.0,xy_move_at_safe_z,Acceleration is steady-state zero in this simplified interpolation model.
baseline,TASK-7B1-001,TUBE-7B1-001,2.77,0.0,0.0,0.0,xy_move_at_safe_z,Acceleration is steady-state zero in this simplified interpolation model.
baseline,TASK-7B1-001,TUBE-7B1-001,2.79,0.0,0.0,0.0,xy_move_at_safe_z,Acceleration is steady-state zero in this simplified interpolation model.
baseline,TASK-7B1-001,TUBE-7B1-001,2.81,0.0,0.0,0.0,xy_move_at_safe_z,Acceleration is steady-state zero in this simplified interpolation model.
baseline,TASK-7B1-001,TUBE-7B1-001,2.83,0.0,0.0,0.0,xy_move_at_safe_z,Acceleration is steady-state zero in this simplified interpolation model.
baseline,TASK-7B1-001,TUBE-7B1-001,2.85,0.0,0.0,0.0,xy_move_at_safe_z,Acceleration is steady-state zero in this simplified interpolation model.
baseline,TASK-7B1-001,TUBE-7B1-001,2.87,0.0,0.0,0.0,xy_move_at_safe_z,Acceleration is steady-state zero in this simplified interpolation model.
baseline,TASK-7B1-001,TUBE-7B1-001,2.89,0.0,0.0,0.0,xy_move_at_safe_z,Acceleration is steady-state zero in this simplified interpolation model.
baseline,TASK-7B1-001,TUBE-7B1-001,2.91,0.0,0.0,0.0,xy_move_at_safe_z,Acceleration is steady-state zero in this simplified interpolation model.
baseline,TASK-7B1-001,TUBE-7B1-001,2.93,0.0,0.0,0.0,xy_move_at_safe_z,Acceleration is steady-state zero in this simplified interpolation model.
baseline,TASK-7B1-001,TUBE-7B1-001,2.95,0.0,0.0,0.0,xy_move_at_safe_z,Acceleration is steady-state zero in this simplified interpolation model.
baseline,TASK-7B1-001,TUBE-7B1-001,2.97,0.0,0.0,0.0,xy_move_at_safe_z,Acceleration is steady-state zero in this simplified interpolation model.
baseline,TASK-7B1-001,TUBE-7B1-001,2.99,0.0,0.0,0.0,xy_move_at_safe_z,Acceleration is steady-state zero in this simplified interpolation model.
baseline,TASK-7B1-001,TUBE-7B1-001,3.01,0.0,0.0,0.0,xy_move_at_safe_z,Acceleration is steady-state zero in this simplified interpolation model.
baseline,TASK-7B1-001,TUBE-7B1-001,3.03,0.0,0.0,0.0,xy_move_at_safe_z,Acceleration is steady-state zero in this simplified interpolation model.
baseline,TASK-7B1-001,TUBE-7B1-001,3.05,0.0,0.0,0.0,xy_move_at_safe_z,Acceleration is steady-state zero in this simplified interpolation model.
baseline,TASK-7B1-001,TUBE-7B1-001,3.07,0.0,0.0,0.0,xy_move_at_safe_z,Acceleration is steady-state zero in this simplified interpolation model.
baseline,TASK-7B1-001,TUBE-7B1-001,3.09,0.0,0.0,0.0,xy_move_at_safe_z,Acceleration is steady-state zero in this simplified interpolation model.
baseline,TASK-7B1-001,TUBE-7B1-001,3.11,0.0,0.0,0.0,xy_move_at_safe_z,Acceleration is steady-state zero in this simplified interpolation model.
baseline,TASK-7B1-001,TUBE-7B1-001,3.13,0.0,0.0,0.0,xy_move_at_safe_z,Acceleration is steady-state zero in this simplified interpolation model.
baseline,TASK-7B1-001,TUBE-7B1-001,3.15,0.0,0.0,0.0,xy_move_at_safe_z,Acceleration is steady-state zero in this simplified interpolation model.
baseline,TASK-7B1-001,TUBE-7B1-001,3.17,0.0,0.0,0.0,xy_move_at_safe_z,Acceleration is steady-state zero in this simplified interpolation model.
baseline,TASK-7B1-001,TUBE-7B1-001,3.19,0.0,0.0,0.0,xy_move_at_safe_z,Acceleration is steady-state zero in this simplified interpolation model.
baseline,TASK-7B1-001,TUBE-7B1-001,3.21,0.0,0.0,0.0,xy_move_at_safe_z,Acceleration is steady-state zero in this simplified interpolation model.
baseline,TASK-7B1-001,TUBE-7B1-001,3.23,0.0,0.0,0.0,xy_move_at_safe_z,Acceleration is steady-state zero in this simplified interpolation model.
baseline,TASK-7B1-001,TUBE-7B1-001,3.25,0.0,0.0,0.0,xy_move_at_safe_z,Acceleration is steady-state zero in this simplified interpolation model.
baseline,TASK-7B1-001,TUBE-7B1-001,3.27,0.0,0.0,0.0,xy_move_at_safe_z,Acceleration is steady-state zero in this simplified interpolation model.
baseline,TASK-7B1-001,TUBE-7B1-001,3.29,0.0,0.0,0.0,xy_move_at_safe_z,Acceleration is steady-state zero in this simplified interpolation model.
baseline,TASK-7B1-001,TUBE-7B1-001,3.31,0.0,0.0,0.0,xy_move_at_safe_z,Acceleration is steady-state zero in this simplified interpolation model.
baseline,TASK-7B1-001,TUBE-7B1-001,3.33,0.0,0.0,0.0,xy_move_at_safe_z,Acceleration is steady-state zero in this simplified interpolation model.
baseline,TASK-7B1-001,TUBE-7B1-001,3.35,0.0,0.0,0.0,xy_move_at_safe_z,Acceleration is steady-state zero in this simplified interpolation model.
baseline,TASK-7B1-001,TUBE-7B1-001,3.37,0.0,0.0,0.0,xy_move_at_safe_z,Acceleration is steady-state zero in this simplified interpolation model.
baseline,TASK-7B1-001,TUBE-7B1-001,3.39,0.0,0.0,0.0,xy_move_at_safe_z,Acceleration is steady-state zero in this simplified interpolation model.
baseline,TASK-7B1-001,TUBE-7B1-001,3.41,0.0,0.0,0.0,xy_move_at_safe_z,Acceleration is steady-state zero in this simplified interpolation model.
baseline,TASK-7B1-001,TUBE-7B1-001,3.43,0.0,0.0,0.0,xy_move_at_safe_z,Acceleration is steady-state zero in this simplified interpolation model.
baseline,TASK-7B1-001,TUBE-7B1-001,3.45,0.0,0.0,0.0,xy_move_at_safe_z,Acceleration is steady-state zero in this simplified interpolation model.
baseline,TASK-7B1-001,TUBE-7B1-001,3.47,0.0,0.0,0.0,xy_move_at_safe_z,Acceleration is steady-state zero in this simplified interpolation model.
baseline,TASK-7B1-001,TUBE-7B1-001,3.49,0.0,0.0,0.0,xy_move_at_safe_z,Acceleration is steady-state zero in this simplified interpolation model.
baseline,TASK-7B1-001,TUBE-7B1-001,3.51,0.0,0.0,0.0,xy_move_at_safe_z,Acceleration is steady-state zero in this simplified interpolation model.
baseline,TASK-7B1-001,TUBE-7B1-001,3.53,0.0,0.0,0.0,xy_move_at_safe_z,Acceleration is steady-state zero in this simplified interpolation model.
baseline,TASK-7B1-001,TUBE-7B1-001,3.55,0.0,0.0,0.0,xy_move_at_safe_z,Acceleration is steady-state zero in this simplified interpolation model.
baseline,TASK-7B1-001,TUBE-7B1-001,3.57,0.0,0.0,0.0,xy_move_at_safe_z,Acceleration is steady-state zero in this simplified interpolation model.
baseline,TASK-7B1-001,TUBE-7B1-001,3.59,0.0,0.0,0.0,xy_move_at_safe_z,Acceleration is steady-state zero in this simplified interpolation model.
baseline,TASK-7B1-001,TUBE-7B1-001,3.61,0.0,0.0,0.0,xy_move_at_safe_z,Acceleration is steady-state zero in this simplified interpolation model.
